Epoch,Loss,Entropy
0.03,2.0564,1.7826
0.07,1.5459,1.5696
0.1,1.5,1.4597
0.13,1.5305,1.4755
0.17,1.4909,1.4394
0.2,1.3787,1.3713
0.24,1.3706,1.3481
0.27,1.4802,1.4287
0.3,1.4188,1.3868
0.34,1.233,1.234
0.37,1.4032,1.3825
0.4,1.3753,1.3693
0.44,1.2252,1.2078
0.47,1.2897,1.2673
0.51,1.181,1.1645
0.54,1.3513,1.3134
0.57,1.2106,1.207
0.61,1.1638,1.1603
0.64,1.2441,1.214
0.67,1.1732,1.1927
0.71,1.1536,1.1771
0.74,1.2062,1.1733
0.77,1.0841,1.0607
0.81,1.103,1.114
0.84,1.1469,1.1564
0.88,1.0902,1.0821
0.91,1.1069,1.0888
0.94,1.0974,1.1035
0.98,1.0968,1.0908
